"","date","hour","TemperatureF","Dew_PointF","Humidity","Sea_Level_PressureIn","VisibilityMPH"
"40",2016-10-02,15,56.45,54,91,30.075,10
"41",2016-10-02,16,57,53.1,87,30.07,10
"42",2016-10-02,17,55.9,54,93,30.06,10
"43",2016-10-02,18,57,54,89,30.06,10
"44",2016-10-02,19,55.9,54,93,30.06,10
"45",2016-10-02,20,55.9,54,93,30.04,10
"46",2016-10-02,21,55.9,54,93,30.04,10
"47",2016-10-02,22,56.45,54,91,30.03,10
"48",2016-10-02,23,55.9,54,93,30.03,10
"49",2016-10-03,0,55.9,54,93,30.015,9.5
"50",2016-10-03,1,55.9,54,93,30,10
"51",2016-10-03,2,55.9,54,93,29.99,10
"52",2016-10-03,3,55.9,55,97,29.99,9.33333333333333
"53",2016-10-03,4,55.9,55,97,29.98,10
"54",2016-10-03,5,57,55,93,29.975,10
"55",2016-10-03,6,57.45,55,91.5,29.98,10
"56",2016-10-03,7,57.9,55.9,93,29.99,10
"57",2016-10-03,8,62.1,55.9,80,29.99,10
"58",2016-10-03,9,64,55.9,75,30,10
"59",2016-10-03,10,66,55.9,70,30.01,10
"60",2016-10-03,11,66.9,57.9,73,30.01,10
"61",2016-10-03,12,66,57,73,30.01,10
"62",2016-10-03,13,64.9,57.9,78,30.02,10
"63",2016-10-03,14,64,55.9,75,30.02,10
"64",2016-10-03,15,64,55.9,75,30.02,10
"65",2016-10-03,16,62.1,57,84,30.05,10
"66",2016-10-03,17,59,57,93,30.07,10
"67",2016-10-03,18,59,57,93,30.09,10
"68",2016-10-03,19,59,57.9,96,30.12,10
"69",2016-10-03,20,59.7333333333333,57.6,93,30.14,10
"70",2016-10-03,21,60.1,57,90,30.15,10
"71",2016-10-03,22,59,55.9,90,30.18,10
"72",2016-10-03,23,58.45,56.45,93,30.2,10
"73",2016-10-04,0,59,55,87,30.215,10
"74",2016-10-04,1,59,55,87,30.23,10
"75",2016-10-04,2,59,53.1,81,30.24,10
"76",2016-10-04,3,57.9,54,87,30.25,10
"77",2016-10-04,4,57.9,55,90,30.26,10
"78",2016-10-04,5,57.9,55,90,30.27,10
"79",2016-10-04,6,58.45,56.45,93,30.295,10
"80",2016-10-04,7,60.1,55.45,84.5,30.315,10
"81",2016-10-04,8,61,55,81,30.34,10
"82",2016-10-04,9,62.1,55,78,30.355,10
"83",2016-10-04,10,62.55,54.05,73.5,30.36,10
"84",2016-10-04,11,62.1,52,70,30.37,10
"85",2016-10-04,12,61,51.1,70,30.37,10
"86",2016-10-04,13,61,51.1,70,30.36,10
"87",2016-10-04,14,60.1,50,69,30.36,10
"88",2016-10-04,15,60.1,48,64,30.35,10
"89",2016-10-04,16,57.9,46.9,67,30.35,10
"90",2016-10-04,17,55.9,46.9,72,30.36,10
"91",2016-10-04,18,55,45,69,30.37,10
"92",2016-10-04,19,55,48,77,30.38,10
"93",2016-10-04,20,54,48,80,30.38,10
"94",2016-10-04,21,53.1,46.9,80,30.38,10
"95",2016-10-04,22,52,48,86,30.38,10
"96",2016-10-04,23,51.1,46.9,86,30.38,10
"97",2016-10-05,0,50,46.9,89,30.38,10
"98",2016-10-05,1,50,46,86,30.37,10
"99",2016-10-05,2,50,46,86,30.35,10
"100",2016-10-05,3,48,45,89,30.35,10
"101",2016-10-05,4,48.9,46,90,30.36,10
"102",2016-10-05,6,48.9,46,90,30.375,10
"103",2016-10-05,7,51.1,46.9,86,30.38,10
"104",2016-10-05,8,55,48.9,80,30.4,10
"105",2016-10-05,9,57.9,50,75,30.39,10
"106",2016-10-05,10,59,48.9,69,30.4,10
"107",2016-10-05,11,59,48.9,69,30.39,10
"108",2016-10-05,12,60.1,48.9,67,30.37,10
"109",2016-10-05,13,59,48.9,69,30.35,10
"110",2016-10-05,14,59,48,67,30.33,10
"111",2016-10-05,15,57.9,48.9,72,30.32,10
"112",2016-10-05,16,57,48,72,30.31,10
"113",2016-10-05,17,55.9,48,75,30.32,10
"114",2016-10-05,18,55,48,77,30.32,10
"115",2016-10-05,19,55,48,77,30.32,10
"116",2016-10-05,20,55,48.9,80,30.32,10
"117",2016-10-05,21,55,48.9,80,30.32,10
"118",2016-10-05,22,54,48.9,83,30.31,10
"119",2016-10-05,23,52,48.9,89,30.3,10
"120",2016-10-06,0,52,48,86,30.31,10
"121",2016-10-06,1,51.1,48,89,30.32,10
"122",2016-10-06,2,50,48,93,30.31,10
"123",2016-10-06,3,51.1,48,89,30.3,10
"124",2016-10-06,4,50,46.9,89,30.3,10
"125",2016-10-06,5,48.9,46.9,93,30.31,10
"126",2016-10-06,6,48.9,46,90,30.31,10
"127",2016-10-06,7,52,48,86,30.32,10
"128",2016-10-06,8,55,48,77,30.33,10
"129",2016-10-06,9,57.9,46.9,67,30.33,10
"130",2016-10-06,10,59,48.9,69,30.32,10
"131",2016-10-06,11,62.1,48,60,30.31,10
"132",2016-10-06,12,63,48,58,30.29,10
"133",2016-10-06,13,64,46,52,30.27,10
"134",2016-10-06,14,66,36,33,30.27,10
"135",2016-10-06,15,64,46,52,30.27,10
"136",2016-10-06,16,64,46.9,54,30.27,10
"137",2016-10-06,17,63,48.9,60,30.27,10
"138",2016-10-06,18,61,53.1,75,30.28,10
"139",2016-10-06,19,61,55.9,83,30.28,10
"140",2016-10-06,20,60.1,54,80,30.3,10
"141",2016-10-06,21,59,53.1,81,30.3,10
"142",2016-10-06,22,57,53.1,87,30.32,10
"143",2016-10-06,23,55.9,53.1,90,30.31,10
"144",2016-10-07,0,54,53.1,97,30.31,10
"145",2016-10-07,1,55.9,51.1,84,30.3,10
"146",2016-10-07,2,54,51.1,90,30.29,10
"147",2016-10-07,3,57,50,77,30.27,10
"148",2016-10-07,4,54,50,86,30.27,10
"149",2016-10-07,5,54,48,80,30.27,10
"150",2016-10-07,6,54,48,80,30.29,10
"151",2016-10-07,7,57,48.9,74,30.3,10
"152",2016-10-07,8,60.1,50,69,30.31,10
"153",2016-10-07,9,64,52,65,30.32,10
"154",2016-10-07,10,64.9,53.1,65,30.31,10
"155",2016-10-07,11,66,53.1,63,30.31,10
"156",2016-10-07,13,66.9,54,63,30.27,10
"157",2016-10-07,14,66,55,68,30.26,10
"158",2016-10-07,15,64.9,57,75,30.24,10
"159",2016-10-07,16,64.9,57.9,78,30.23,10
"160",2016-10-07,17,63,57.9,84,30.23,10
"161",2016-10-07,18,63,57,81,30.23,10
"162",2016-10-07,19,63,55.9,78,30.24,10
"163",2016-10-07,20,62.1,55,78,30.24,10
"164",2016-10-07,21,60.1,55.9,86,30.24,10
"165",2016-10-07,22,59,55,87,30.23,10
"166",2016-10-07,23,59,53.1,81,30.22,10
"167",2016-10-08,0,57.9,53.1,84,30.19,10
"168",2016-10-08,1,55.9,53.1,90,30.19,10
"169",2016-10-08,2,54,52,93,30.18,10
"170",2016-10-08,3,54,52,93,30.17,10
"171",2016-10-08,4,54,51.1,90,30.17,10
"172",2016-10-08,5,52,51.1,97,30.17,10
"173",2016-10-08,6,53.1,52,96,30.17,9
"174",2016-10-08,7,53.1,53.1,100,30.17,8
"175",2016-10-08,8,55.9,54,93,30.17,10
"176",2016-10-08,9,57.9,55.9,93,30.17,10
"177",2016-10-08,10,59,57,93,30.15,10
"178",2016-10-08,11,63,57,81,30.12,10
"179",2016-10-08,12,64,57,78,30.11,10
"180",2016-10-08,13,64,57.9,80,30.1,10
"181",2016-10-08,14,63.5,59.55,87,30.08,10
"182",2016-10-08,15,64.9,61,87,30.06,10
"183",2016-10-08,16,65.9,62,87,30.045,10
"184",2016-10-08,17,66.9,62.1,84,30.02,10
"185",2016-10-08,18,66.9,62.1,84,30.03,10
"186",2016-10-08,19,66.45,62.1,85.5,30.035,10
"187",2016-10-08,20,66,62.1,87,30.04,10
"188",2016-10-08,21,64.9,62.1,90,30.03,10
"189",2016-10-08,22,64.9,62.1,90,30.02,10
"190",2016-10-08,23,64,63,96,30.01,10
"191",2016-10-09,0,63,63,100,29.99,10
"192",2016-10-09,1,63.95,63.5,98.5,29.99,10
"193",2016-10-09,2,64,64,100,29.975,9
"194",2016-10-09,3,64,62.1,93,29.96,10
"195",2016-10-09,4,63,62.1,97,29.96,10
"196",2016-10-09,5,63,62.1,97,29.97,10
"197",2016-10-09,6,62,61.1,97,29.975,8
"198",2016-10-09,7,59,59,100,29.985,2.25
"199",2016-10-09,8,57,57,100,30.03,2.5
"200",2016-10-09,9,57,57,100,30.025,4
"201",2016-10-09,10,55,54,96,30.03,6
"202",2016-10-09,11,55,54,96,30.02,6
"203",2016-10-09,12,54,54,100,30.04,3
"204",2016-10-09,13,54,53.1,97,30.02,5
"205",2016-10-09,14,53.1,51.55,94.5,30.015,4.5
"206",2016-10-09,15,52.55,51.1,95,30.02,4
"207",2016-10-09,16,52,51.1,97,30.02,5.33333333333333
"208",2016-10-09,17,51.4,50,95,30.0266666666667,5
"209",2016-10-09,18,51.1,48.9,92,30.03,7
"210",2016-10-09,19,50.55,50,98,30.04,4
"211",2016-10-09,20,50,48,93,30.02,5
"212",2016-10-09,21,50,48.3,94,30,10
"213",2016-10-09,22,50,46.9,89,29.99,10
"214",2016-10-09,23,50,46.9,89,29.99,10
"215",2016-10-10,0,48.9,44.1,83,30,10
"216",2016-10-10,1,46.9,41,80,30,10
"217",2016-10-10,2,46,39,76,30,10
"218",2016-10-10,3,45,37.9,76,30,10
"219",2016-10-10,4,45,37,74,30.02,10
"220",2016-10-10,5,45,37,74,30.03,10
"221",2016-10-10,6,45,36,71,30.06,10
"222",2016-10-10,7,46,36,68,30.09,10
"223",2016-10-10,8,48,35.1,61,30.11,10
"224",2016-10-10,9,50,35.1,57,30.13,10
"225",2016-10-10,10,52,35.1,53,30.13,10
"226",2016-10-10,11,54,35.1,49,30.14,10
"227",2016-10-10,12,55.9,35.1,45,30.13,10
"228",2016-10-10,13,57,34,42,30.13,10
"229",2016-10-10,14,57.9,34,41,30.14,10
"230",2016-10-10,15,57.9,34,41,30.16,10
"231",2016-10-10,16,57.9,33.1,39,30.18,10
"232",2016-10-10,17,55,33.1,43,30.22,10
"233",2016-10-10,18,53.1,34,48,30.25,10
"234",2016-10-10,19,52,34,50,30.28,10
"235",2016-10-10,20,50,33.1,52,30.3,10
"236",2016-10-10,21,48.9,34,56,30.32,10
"237",2016-10-10,22,48,33.1,56,30.34,10
"238",2016-10-10,23,46.9,33.1,59,30.35,10
"239",2016-10-11,0,46,33.1,61,30.37,10
"240",2016-10-11,1,45,33.1,63,30.38,10
"241",2016-10-11,2,45,33.1,63,30.39,10
"242",2016-10-11,3,44.1,33.1,65,30.4,10
"243",2016-10-11,4,44.1,33.1,65,30.42,10
"244",2016-10-11,5,44.1,33.1,65,30.44,10
"245",2016-10-11,6,44.1,33.1,65,30.44,10
"246",2016-10-11,7,45,34,65,30.46,10
"247",2016-10-11,8,48.9,34,56,30.47,10
"248",2016-10-11,9,54,34,47,30.48,10
"249",2016-10-11,10,55.9,32,40,30.48,10
"250",2016-10-11,11,59,30.9,35,30.48,10
"251",2016-10-11,12,57.9,37,46,30.46,10
"252",2016-10-11,13,57.9,30.9,36,30.45,10
"253",2016-10-11,14,57.9,33.1,39,30.43,10
"254",2016-10-11,15,57.9,34,41,30.43,10
"255",2016-10-11,16,57.9,35.1,42,30.42,10
"256",2016-10-11,17,55.9,42.1,60,30.43,10
"257",2016-10-11,18,55,41,59,30.43,10
"258",2016-10-11,19,54,43,66,30.43,10
"259",2016-10-11,20,52,42.1,69,30.43,10
"260",2016-10-11,21,52,41,66,30.43,10
"261",2016-10-11,22,51.1,39,63,30.42,10
"262",2016-10-11,23,52,37.9,59,30.42,10
"263",2016-10-12,0,48.9,39,69,30.41,10
"264",2016-10-12,1,48.9,42.1,77,30.41,10
"265",2016-10-12,2,48.9,42.1,77,30.4,10
"266",2016-10-12,3,48.9,44.1,83,30.39,10
"267",2016-10-12,4,48.9,45,86,30.39,10
"268",2016-10-12,5,48.9,44.1,83,30.4,10
"269",2016-10-12,6,48.9,45,86,30.4,10
"270",2016-10-12,7,51.1,46,83,30.4,10
"271",2016-10-12,8,54,46,75,30.4,10
"272",2016-10-12,9,55.9,46.9,72,30.4,10
"273",2016-10-12,10,59,48,67,30.39,10
"274",2016-10-12,11,60.1,48,64,30.37,10
"275",2016-10-12,12,61,50,67,30.34,10
"276",2016-10-12,13,62.1,48,60,30.32,10
"277",2016-10-12,14,62.1,48,60,30.31,10
"278",2016-10-12,15,61,51.1,70,30.29,10
"279",2016-10-12,16,62.1,53.1,72,30.27,10
"280",2016-10-12,17,60.1,53.1,78,30.25,10
"281",2016-10-12,18,59,51.1,75,30.26,10
"282",2016-10-12,19,57,51.1,81,30.25,10
"283",2016-10-12,20,55.9,48,75,30.27,10
"284",2016-10-12,21,54,50,86,30.26,10
"285",2016-10-12,22,53.1,51.1,93,30.25,10
"286",2016-10-12,23,53.1,51.1,93,30.23,10
"287",2016-10-13,0,52,51.1,97,30.21,10
"288",2016-10-13,1,52,51.1,97,30.18,10
"289",2016-10-13,2,52,51.1,97,30.16,10
"290",2016-10-13,3,54,52,93,30.15,10
"291",2016-10-13,4,55,53.1,93,30.14,10
"292",2016-10-13,5,55,53.1,93,30.13,10
"293",2016-10-13,6,55,53.1,93,30.13,10
"294",2016-10-13,7,55.9,54,93,30.12,10
"295",2016-10-13,8,57.9,55,90,30.11,10
"296",2016-10-13,9,63,57.9,84,30.09,10
"297",2016-10-13,10,64.9,57.9,78,30.06,10
"298",2016-10-13,11,66.45,56.45,70,30.05,10
"299",2016-10-13,12,69.1,55,61,30.01,10
"300",2016-10-13,13,71.1,55,57,29.98,10
"301",2016-10-13,14,71.1,53.1,53,29.96,10
"302",2016-10-13,15,70,52,53,29.96,10
"303",2016-10-13,16,69.1,51.1,53,29.96,10
"304",2016-10-13,17,68,52,56,29.97,10
"305",2016-10-13,18,64.9,55.9,73,29.99,10
"306",2016-10-13,19,64,55.9,75,30.01,10
"307",2016-10-13,20,63,55,75,30.03,10
"308",2016-10-13,21,61,53.1,75,30.05,10
"309",2016-10-13,22,60.1,52,75,30.07,10
"310",2016-10-13,23,57.9,50,75,30.09,10
"311",2016-10-14,0,55,45,69,30.11,10
"312",2016-10-14,1,52,39,61,30.14,10
"313",2016-10-14,2,50,37,61,30.14,10
"314",2016-10-14,3,48.9,37,64,30.17,10
"315",2016-10-14,4,48,36,63,30.19,10
"316",2016-10-14,5,46.9,34,61,30.22,10
"317",2016-10-14,6,46,33.1,61,30.25,10
"318",2016-10-14,7,46.9,33.1,59,30.29,10
"319",2016-10-14,8,48,33.1,56,30.3,10
"320",2016-10-14,9,50,33.1,52,30.32,10
"321",2016-10-14,10,52,33.1,49,30.33,10
"322",2016-10-14,11,55,34,45,30.33,10
"323",2016-10-14,12,55.9,33.1,42,30.31,10
"324",2016-10-14,13,57.9,33.1,39,30.3,10
"325",2016-10-14,14,59,32,36,30.3,10
"326",2016-10-14,15,59,30.9,35,30.3,10
"327",2016-10-14,16,55,39.9,57,30.31,10
"328",2016-10-14,17,53.1,39,59,30.32,10
"329",2016-10-14,18,52,39.9,63,30.34,10
"330",2016-10-14,19,52,41,66,30.35,10
"331",2016-10-14,20,53.1,37,55,30.37,10
"332",2016-10-14,21,52,34,50,30.39,10
"333",2016-10-14,22,48.9,33.1,54,30.39,10
"334",2016-10-14,23,48,30.9,52,30.39,10
